年度,序號,行政區,上課地點,上課日期,上課時間,課程名稱,人數
111,232,南港區,"臺北市南港區舊莊里舊莊街1段91巷11號
 (臺北市南港舊莊社區發展協會)",1111115,13:00-16:00,樂齡手機上網輕鬆學,20
111,233,中正區,"臺北市中正區文盛里汀州路3段101號1樓101室
 (展翔據點)",1111115,13:00-16:00,樂齡手機上網輕鬆學,19
111,234,大安區,"台北市大安區民炤里信義路3段31巷5號
 (民炤里辦公室)",1111115,16:00-17:00,掌握銀髮照護通行證,17
111,235,大安區,"台北市大安區福住里永康街47巷10-1號1樓
 (福住里里辦公室)",1111116,09:00-12:00,美麗寶島逍遙青春遊,25
111,236,士林區,"台北市士林區翠山里中社路1段43巷1號
 (財團法人台北市中華基督教浸信會慈光堂)",1111116,09:00-12:00,網路社群直播開心聚,14
111,237,中正區,"台北市中正區文盛里辛亥路一段22號4樓
 (財團法人耕莘文教基金會)",1111116,09:00-12:00,玩轉社群愉快交朋友,21
111,238,士林區,"台北市士林區名山里雨聲街68號
 (名山里辦公室)",1111116,09:00-12:00,行動追劇快樂無極限,39
111,239,北投區,"台北市北投區福興里自強街5巷22號
 (福興社區發展協會)",1111116,09:00-12:00,懷念老歌金曲開心聽,41
111,240,中正區,"台北巿中正區螢圃里牯嶺街131號
 (財團法人中華基督教廈門街浸信會)",1111116,09:30-12:30,掌握銀髮照護通行證,28
111,241,信義區,"臺北市信義區廣居里虎林街157號1樓
 (社團法人台灣厝邊有愛關懷協會(永吉教會)",1111116,13:00-16:00,樂齡手機上網輕鬆學,22
111,242,萬華區,"臺北市萬華區保德里東園街140巷10號
 (台北市萬華區保德里辦公處)",1111116,13:30-16:30,樂齡手機上網輕鬆學,19
111,243,大同區,"臺北市大同區建明里長安西路60號3樓
 (中華全齡關懷協會-長安據點)",1111116,13:30-16:30,老照片舊回憶愛長存,15
111,244,內湖區,"台北市內湖區內湖里成功路四段50號2樓
 (巨匠電腦內湖認證)",1111116,13:30-16:30,樂齡手機上網輕鬆學,27
111,245,中山區,"臺北市中山區金泰里敬業三路162巷109號1樓
 (財團法人基督教台灣信義會(大直真理堂)",1111116,13:30-16:30,樂齡手機上網輕鬆學,12
111,246,中正區,"台北市中正區黎明里館前路34號4樓
 (巨匠電腦館前認證)",1111117,09:30-12:30,掌握銀髮照護通行證,13
111,247,文山區,"台北市文山區試院里木柵路一段59巷4號旁
 (早安綠庄活動中心)",1111117,09:00-12:00,亮麗自拍展現我的美,9
111,248,中正區,"台北市中正區黎明里館前路34號4樓
 (巨匠電腦館前認證)",1111117,13:30-16:30,懷念老歌金曲開心聽,15
111,249,北投區,"台北市北投區泉源里東昇路45之5號 
 (泉源里民活動中心)",1111117,13:30-16:30,樂齡手機上網輕鬆學,12
111,250,內湖區,"台北市內湖區紫星里康寧路一段62號
 (財團法人基督教台灣信義會內湖思恩堂)",1111117,13:30-16:30,樂齡手機上網輕鬆學,21
111,251,中山區,"台北巿中山區民安里民生西路6號6號
 (中華全齡關懷協會-民生據點)",1111117,13:30-16:30,行動追劇快樂無極限,14
